gender	word	n	log_odds_weighted	corpus
FEMALE	говорит	627	2.7634320684847844	rus
FEMALE	стыдно	211	2.7490194490830477	rus
FEMALE	хочу	537	2.7398367594988713	rus
FEMALE	папаша	72	2.729874854309647	rus
FEMALE	еще	1767	2.7266254004970674	rus
FEMALE	нашла	69	2.7138729312103367	rus
FEMALE	какая	486	2.712205329792411	rus
FEMALE	алешенька	10	2.687443411724888	rus
FEMALE	деушка	10	2.687443411724888	rus
FEMALE	испытала	10	2.687443411724888	rus
FEMALE	маргариточка	10	2.687443411724888	rus
FEMALE	митенька	10	2.687443411724888	rus
FEMALE	сидоровна	10	2.687443411724888	rus
FEMALE	слушала	10	2.687443411724888	rus
FEMALE	танюшка	10	2.687443411724888	rus
FEMALE	моя	851	2.6832635310613524	rus
FEMALE	нужно	571	2.6831165181231964	rus
FEMALE	поняла	49	2.6552526224013664	rus
FEMALE	граф	190	2.6514166541266486	rus
FEMALE	яков	68	2.647922540063815	rus
FEMALE	заметила	31	2.6435963502058297	rus
FEMALE	про	389	2.6382471593902537	rus
FEMALE	одна	309	2.6380671763618766	rus
FEMALE	миленький	44	2.6211425199035903	rus
FEMALE	душечка	37	2.6144748353255305	rus
FEMALE	пришла	133	2.5895006409179944	rus
FEMALE	слез	123	2.5812952615793345	rus
FEMALE	об	512	2.5621764910433975	rus
FEMALE	эней	56	2.5553569963584173	rus
FEMALE	paul	9	2.5495312345603924	rus
FEMALE	берегла	9	2.5495312345603924	rus
FEMALE	гришенька	9	2.5495312345603924	rus
FEMALE	полетела	9	2.5495312345603924	rus
FEMALE	родионыч	9	2.5495312345603924	rus
FEMALE	бог	536	2.5370578126089263	rus
FEMALE	потеряла	34	2.5352684935742844	rus
FEMALE	батька	30	2.5326103050634896	rus
FEMALE	маркыч	46	2.531342148118974	rus
FEMALE	платон	53	2.50788872904534	rus
FEMALE	пойду	294	2.5068752574269424	rus
FEMALE	пошла	107	2.502716258895769	rus
FEMALE	мишель	32	2.501344258819474	rus
FEMALE	полюбила	42	2.490260826379925	rus
FEMALE	неправда	76	2.4824474565264074	rus
FEMALE	плачу	72	2.4757642085148266	rus
FEMALE	любите	133	2.4732188927224996	rus
FEMALE	иди	172	2.4705430888538973	rus
FEMALE	чтойто	30	2.468674892687977	rus
FEMALE	о	2044	2.462681263427745	rus
FEMALE	буду	564	2.4502459391296383	rus
FEMALE	говорили	129	2.4499022232487526	rus
FEMALE	владимир	75	2.447869710265787	rus
FEMALE	бедная	80	2.4419245265451104	rus
FEMALE	вспомнила	28	2.4377963046026108	rus
FEMALE	нравится	155	2.4303273243787857	rus
FEMALE	уйдите	29	2.42077985055459	rus
FEMALE	зачем	640	2.417966779326775	rus
FEMALE	тетушка	98	2.414138709069599	rus
FEMALE	за	3164	2.407272124275553	rus
FEMALE	николаич	86	2.403812831468503	rus
MALE	хе	174	7.3573672461809165	rus
MALE	хехе	60	4.320157718556004	rus
MALE	шурин	57	4.210762801091166	rus
MALE	высокородие	51	3.9829713590608957	rus
